dish_id,name_vi,name_en,region,origin,roles,serving_g,verified_by,note
FNDDS-2705584,,"Infant formula, low iron",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705584"
FNDDS-2705585,,"Milk, dry, not reconstituted",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705585"
FNDDS-2705586,,"Whey, sweet, dry",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705586"
FNDDS-2705588,,"Chocolate beverage powder, dry mix, not reconstituted",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705588"
FNDDS-2705589,,"Chocolate beverage powder, light, dry mix, not reconstituted",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705589"
FNDDS-2705590,,"Milk, malted, dry mix, not reconstituted",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705590"
FNDDS-2705591,,"Strawberry beverage powder, dry mix, not reconstituted",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705591"
FNDDS-2705593,,"Cream, light",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705593"
FNDDS-2705594,,"Cream, half and half",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705594"
FNDDS-2705595,,"Cream, half and half, flavored",,foreign,,102,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705595"
FNDDS-2705596,,"Cream, half and half, fat free",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705596"
FNDDS-2705597,,"Cream, heavy",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705597"
FNDDS-2705598,,"Cream, whipped",,foreign,,253,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705598"
FNDDS-2705599,,"Coffee creamer, NFS",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705599"
